gene_name,sample_name,gene_family,drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
lnuc,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,6.0,86.06,1.44,,110405192,2.03,0.49
mef(en2),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7512,99.5,Unknown taxonomy (chromosome),47.0,100.0,5.19,,110405192,15.87,1.75
mefh,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,1.0,45.45,0.45,,110405192,0.34,0.15
mel,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,11.0,59.85,1.22,Clostridioides difficile (chromosome): 2; Parabacteroides distasonis (plasmid): 1; ,110405192,3.71,0.41
oxa-308,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,OXA beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,1.0,2.02,0.02,,110405192,0.34,0.01
qacg,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,2,Strict,76.8519,46.085,,,,,,110405192,0.0,0.0
tet(32),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,62.9687,98.26,Unknown taxonomy (chromosome),20.0,87.66,1.54,,110405192,6.75,0.52
tet(40),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7543,99.01,Unknown taxonomy (chromosome),47.0,100.0,5.51,Faecalibacterium prausnitzii (chromosome): 1; ,110405192,15.87,1.86
tet(b),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,24.88,0.25,,110405192,0.68,0.08
tet(o),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,21.0,70.21,1.31,Streptococcus suis (chromosome): 1; Anaerostipes hadrus (chromosome or plasmid): 2; ,110405192,7.09,0.44
tet(o/32/o),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6.0,37.34,0.47,,110405192,2.03,0.16
tet(o/m/o),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,1.0,7.81,0.08,Anaerostipes hadrus (chromosome or plasmid): 1; ,110405192,0.34,0.03
tet(o/w),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6.0,28.65,0.47,,110405192,2.03,0.16
tet(o/w/32/o),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,7.0,22.24,0.55,Streptococcus suis (chromosome): 1; ,110405192,2.36,0.19
tet(q),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.848,98.17,Unknown taxonomy (chromosome),189.0,100.0,13.42,Bacteroides fragilis (chromosome): 1; Phocaeicola dorei (chromosome): 1; ,110405192,63.82,4.53
tet(w),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.6875,99.53,Unknown taxonomy (chromosome),145.0,100.0,10.62,Bifidobacterium longum (chromosome): 1; Trueperella pyogenes (chromosome): 1; ,110405192,48.96,3.59
tet(w/32/o),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,16.0,59.69,1.23,Trueperella pyogenes (chromosome): 4; ,110405192,5.4,0.42
tet(w/n/w),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,33.5938,93.49,Trueperella pyogenes (chromosome),4.0,31.25,0.31,Streptococcus suis (chromosome): 1; ,110405192,1.35,0.1
tet(x),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.7429,99.48,Unknown taxonomy (chromosome or plasmid),57.0,93.06,6.22,,110405192,19.25,2.1
tet(x1),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.7222,99.72,Unknown taxonomy (chromosome),45.0,100.0,5.34,Bacteroides fragilis (chromosome): 2; ,110405192,15.2,1.8
tet(x3),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,19.19,0.19,,110405192,0.68,0.06
tet(x4),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,11.0,57.17,1.42,,110405192,3.71,0.48
tet(x5),OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,21.42,0.51,,110405192,1.35,0.17
vant gene in vang cluster,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,glycopeptide resistance gene cluster; vanT,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,34.0,87.47,2.26,,110405192,11.48,0.76
aads,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.6528,100.0,Unknown taxonomy (chromosome or plasmid),45.0,100.0,7.16,,96971006,15.49,2.46
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,79.0,52.57,0.51,,96971006,27.19,0.18
cbla-1,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,15.0,98.88,2.23,,96971006,5.16,0.77
cfxa3,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,16.0,99.38,2.37,,96971006,5.51,0.82
crxa,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,subclass B1 Bacteroides xylanisolvens crx beta-lactamase,carbapenem,antibiotic inactivation,protein homolog,0,,,,,1.0,14.25,0.14,,96971006,0.34,0.05
dfrf,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,2.0,36.77,0.61,,96971006,0.69,0.21
ered,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,macrolide esterase,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,3.0,23.06,0.28,,96971006,1.03,0.1
ermb,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,2.0,31.33,0.4,,96971006,0.69,0.14
ermf,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.6255,99.62,Unknown taxonomy (chromosome or plasmid),60.0,100.0,9.73,Bacteroides (chromosome or plasmid): 5; ,96971006,20.65,3.35
esp-1,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,ESP beta-lactamase,carbapenem,antibiotic inactivation,protein homolog,0,,,,,2.0,5.15,0.02,,96971006,0.69,0.01
lnuc,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,17.78,0.18,,96971006,0.34,0.06
mef(en2),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7512,99.5,Unknown taxonomy (chromosome),43.0,100.0,4.82,,96971006,14.8,1.66
mel,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,36.0,100.0,4.03,Clostridioides difficile (chromosome): 5; Streptococcus suis (chromosome): 1; Parabacteroides distasonis (plasmid): 2; ,96971006,12.39,1.39
oxa-299,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,OXA beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,1.0,2.88,0.03,,96971006,0.34,0.01
pata,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,15.75,0.18,,96971006,0.69,0.06
qacg,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Strict,96.2963,47.12,,,,,,96971006,0.0,0.0
sps-1,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,SPS beta-lactamase,carbapenem,antibiotic inactivation,protein homolog,0,,,,,1.0,2.17,0.02,,96971006,0.34,0.01
tet(32),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6.0,26.61,0.27,,96971006,2.07,0.09
tet(40),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,17.0,78.54,2.01,,96971006,5.85,0.69
tet(o),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.12,Anaerostipes hadrus (chromosome or plasmid),74.0,99.48,5.39,Anaerostipes hadrus (chromosome): 3; Streptococcus suis (chromosome): 1; Anaerostipes hadrus (chromosome or plasmid): 4; ,96971006,25.47,1.86
tet(o/32/o),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,3.0,18.8,0.23,,96971006,1.03,0.08
tet(o/m/o),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6.0,20.05,0.47,Anaerostipes hadrus (chromosome or plasmid): 1; ,96971006,2.07,0.16
tet(o/w),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,28.0,43.8,2.18,Trueperella pyogenes (chromosome): 2; ,96971006,9.64,0.75
tet(o/w/32/o),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,20.0,28.02,1.56,,96971006,6.88,0.54
tet(q),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,97.5684,64.19,Unknown taxonomy (chromosome),220.0,100.0,16.02,,96971006,75.73,5.51
tet(t),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,96.1656,31.49,,,,,,96971006,0.0,0.0
tet(w),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,99.0,95.52,7.04,Collinsella aerofaciens (chromosome): 4; ,96971006,34.08,2.42
tet(w/32/o),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,51.0,59.11,3.79,Trueperella pyogenes (chromosome): 5; Collinsella aerofaciens (chromosome): 2; ,96971006,17.56,1.3
tet(w/n/w),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.6875,94.2,Unknown taxonomy (chromosome),33.0,70.0,2.51,Bifidobacterium longum (chromosome): 1; ,96971006,11.36,0.86
tet(x),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,1,Strict,95.8869,99.46,Unknown taxonomy (chromosome or plasmid),95.0,99.91,10.88,,96971006,32.7,3.75
tet(x1),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.7222,99.44,Unknown taxonomy (chromosome),31.0,100.0,3.92,Bacteroides fragilis (chromosome): 1; ,96971006,10.67,1.35
tet(x3),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,28.28,0.44,,96971006,1.38,0.15
tet(x4),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,12.0,54.92,1.48,,96971006,4.13,0.51
tet(x5),OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,26.91,0.51,,96971006,1.38,0.18
vant gene in vang cluster,OPS_009_UTAH_ESBL_DNA_3-30d_S128_L002,glycopeptide resistance gene cluster; vanT,glycopeptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.439,97.04,Streptococcus agalactiae (chromosome),133.0,97.43,8.83,Streptococcus agalactiae (chromosome): 9; ,96971006,45.78,3.04
aac(3)-iid,AMR_TR-DNA-NOVA1-10-pst_S80,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,8.0,38.68,1.17,,10000000,1.41,0.21
aad(6),AMR_TR-DNA-NOVA1-10-pst_S80,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,22.0,91.34,3.76,,10000000,3.87,0.66
aada5,AMR_TR-DNA-NOVA1-10-pst_S80,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,15.0,49.81,2.4,Escherichia coli (chromosome or plasmid): 4; ,10000000,2.64,0.42
aads,AMR_TR-DNA-NOVA1-10-pst_S80,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.6528,100.0,Unknown taxonomy (chromosome or plasmid),49.0,100.0,6.9,,10000000,8.61,1.21
acrb,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,24.0,47.11,1.09,,10000000,4.22,0.19
acrd,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,34.0,60.66,1.46,Escherichia coli (chromosome or plasmid): 2; ,10000000,5.98,0.26
acre,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux,protein homolog,0,,,,,27.0,86.53,3.16,Escherichia coli (chromosome or plasmid): 4; ,10000000,4.75,0.56
acrf,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux,protein homolog,0,,,,,32.0,62.83,1.4,,10000000,5.62,0.25
acrs,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,24.28,0.45,,10000000,0.35,0.08
ant(6)-ia,AMR_TR-DNA-NOVA1-10-pst_S80,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,17.0,46.41,2.03,,10000000,2.99,0.36
aph(2'')-ig,AMR_TR-DNA-NOVA1-10-pst_S80,APH(2''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,5.0,15.42,0.15,Campylobacter (plasmid): 1; ,10000000,0.88,0.03
aph(3'')-ib,AMR_TR-DNA-NOVA1-10-pst_S80,APH(3''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,11.0,81.72,2.0,,10000000,1.93,0.35
aph(3')-iia,AMR_TR-DNA-NOVA1-10-pst_S80,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,3.65,0.07,,10000000,0.35,0.01
aph(3')-iiia,AMR_TR-DNA-NOVA1-10-pst_S80,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.6226,100.0,Unknown taxonomy (chromosome or plasmid),68.0,100.0,11.53,,10000000,11.95,2.03
aph(4)-ia,AMR_TR-DNA-NOVA1-10-pst_S80,APH(4),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,21.35,0.43,,10000000,0.7,0.08
aph(6)-ic,AMR_TR-DNA-NOVA1-10-pst_S80,APH(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,16.0,45.44,0.32,,10000000,2.81,0.06
aph(6)-id,AMR_TR-DNA-NOVA1-10-pst_S80,APH(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,17.92,0.18,,10000000,0.18,0.03
baca,AMR_TR-DNA-NOVA1-10-pst_S80,undecaprenyl pyrophosphate related proteins,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,26.0,94.04,3.96,Escherichia coli (chromosome or plasmid): 3; ,10000000,4.57,0.7
baer,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,4.0,31.4,0.66,,10000000,0.7,0.12
baes,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,17.74,0.21,,10000000,0.35,0.04
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,AMR_TR-DNA-NOVA1-10-pst_S80,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,95.0,42.29,0.5,,10000000,16.7,0.09
cbla-1,AMR_TR-DNA-NOVA1-10-pst_S80,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,9.0,56.0,1.5,,10000000,1.58,0.26
cfxa,AMR_TR-DNA-NOVA1-10-pst_S80,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Strict,90.9938,100.0,Unknown taxonomy (chromosome or plasmid),,,,,10000000,0.0,0.0
cfxa2,AMR_TR-DNA-NOVA1-10-pst_S80,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,80.0,99.28,11.01,,10000000,14.06,1.94
cpxa,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,20.0,74.09,1.95,Escherichia coli (chromosome or plasmid): 4; ,10000000,3.52,0.34
crp,AMR_TR-DNA-NOVA1-10-pst_S80,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,6.0,88.47,1.39,,10000000,1.05,0.24
dfra17,AMR_TR-DNA-NOVA1-10-pst_S80,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,6.0,64.56,1.41,Escherichia coli (chromosome or plasmid): 1; ,10000000,1.05,0.25
dfrf,AMR_TR-DNA-NOVA1-10-pst_S80,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,23.0,100.0,3.98,,10000000,4.04,0.7
